Celltype	Trait	zscore	pval
Ery	hgb	3.40009390231428	3.47261041175107
GMP-A	hgb	1.04971429863332	0.832905057710011
GMP-B	hgb	1.17633514452939	0.921795245384049
GMP-C	hgb	0.141284838118529	0.352790720346609
HSC	hgb	-1.10529941109587	0.0627404227637151
LMPP	hgb	-2.08801859936055	0.00806460013121557
mDC	hgb	-1.47857821571852	0.0313426865063457
Mega	hgb	-0.34382844169797	0.197559923708342
MEP	hgb	3.80529414077543	4.14985704009879
Mono	hgb	1.71384936290332	1.36373083608793
MPP	hgb	-0.816465961195952	0.100790807114329
NK	hgb	-1.55065345393211	0.027099691924042
pDC	hgb	-0.848674436355807	0.0958425475140872
B	hlr	-0.417402749956137	0.179267936093843
CD4	hlr	-1.43436727929364	0.0342029004403709
CD8	hlr	-2.23093150130971	0.00561369720586941
CLP	hlr	-0.744567671203421	0.112532680279391
CMP	hlr	-0.00911099864841706	0.297884344416205
Ery	hlr	10.8222256588958	26.8694468566455
GMP-A	hlr	0.566958999428179	0.544590133988945
GMP-B	hlr	0.578727320962058	0.550696604988067
GMP-C	hlr	0.158088140858995	0.359326132055505
HSC	hlr	-2.93040619702613	0.00073570786327114
LMPP	hlr	-2.83606038377263	0.000992928377661626
mDC	hlr	-1.16163804339515	0.0568475445687801
Mega	hlr	2.33115703447927	2.00557108085557
MEP	hlr	4.675481925475	5.8337710832345
Mono	hlr	0.483812006697759	0.502711382228664
MPP	hlr	-2.52686444112948	0.00250627674706252
NK	hlr	-1.84956130030942	0.0142091779340274
pDC	hlr	0.0655161715890992	0.324330231346311
B	irf	-0.92812595869354	0.0844266493753668
CD4	irf	-1.1020395490762	0.0630954874626394
CD8	irf	-1.63925619501383	0.0225416044214166
CLP	irf	-0.738334036582629	0.11359712629175
CMP	irf	-0.43609038728284	0.174824258389925
Ery	irf	13.4220877785205	40.6488935114934
GMP-A	irf	-0.185531073542374	0.241395593324623
GMP-B	irf	-0.542900705164557	0.150948747017838
GMP-C	irf	-0.684844894045015	0.123044082774658
HSC	irf	-3.14204329955925	0.000364467815552817
LMPP	irf	-3.02494778430544	0.000540329180416956
mDC	irf	-1.95429024420603	0.0111439388513332
Mega	irf	1.24434101354296	0.971888329219732
MEP	irf	7.03626707597921	12.0055546131945
Mono	irf	0.517470521120414	0.519398292601293
MPP	irf	-2.98797724841472	0.000610244131950906
NK	irf	-0.958219327997838	0.0803864787899178
pDC	irf	0.455182414115528	0.488800013518678
B	lymph	2.08162712511612	1.72843087929534
CD4	lymph	5.8470845949855	8.60183150020922
CD8	lymph	5.32839342492871	7.30502071962587
CLP	lymph	-0.04350850474679	0.286213945369178
CMP	lymph	-3.92497861624381	1.88352047840488e-05
Ery	lymph	-1.16910877396874	0.0561000209478305
GMP-A	lymph	-0.614308682090278	0.136383158504198
GMP-B	lymph	-0.560701666554304	0.147215415030373
GMP-C	lymph	-1.08616897555832	0.0648466218740454
HSC	lymph	-2.82623688709155	0.00102393529584352
LMPP	lymph	-3.7907520228334	3.26149701554353e-05
mDC	lymph	-1.55059939955331	0.0271026876938047
Mega	lymph	-1.45640926425625	0.0327515272281296
MEP	lymph	-1.55175095240473	0.0270389257616751
Mono	lymph	-0.567264322160298	0.145856351800852
MPP	lymph	-2.78587119491609	0.00116077041724694
NK	lymph	2.12684211324095	1.77685199894797
pDC	lymph	-1.25740892413031	0.047838783265627
B	mch	-3.28414115933171	0.000222184713124497
CD4	mch	-4.03881494440871	1.16657247746877e-05
CD8	mch	-3.38168311274049	0.000156468002328704
CLP	mch	-4.28640220901997	3.94319648218984e-06
CMP	mch	3.57876098111478	3.76292521994425
Ery	mch	13.4710065602876	40.9361304776618
GMP-A	mch	0.732686278601452	0.634746265257311
GMP-B	mch	0.277610616908975	0.408205900574917
GMP-C	mch	-0.588570015558518	0.141507844182413
HSC	mch	0.23683576501198	0.391054740755505
LMPP	mch	-4.53481667095386	1.25193254142417e-06
mDC	mch	-3.91409293562618	1.97054044930598e-05
Mega	mch	2.03863687531656	1.68312547959222
MEP	mch	9.51664963754562	21.0485353676627
Mono	mch	-0.68318544362137	0.12334625576874
MPP	mch	0.919480056557338	0.747335609749464
NK	mch	-2.86002700451952	0.000920821935470853
pDC	mch	-2.91277422305564	0.000778591682975439
B	mchc	-2.37566774275923	0.00382057379738133
CD4	mchc	-0.865964486329244	0.0932636199670809
CD8	mchc	-1.40265661455675	0.0363819726528982
CLP	mchc	-2.58871390794408	0.00209694427783215
CMP	mchc	0.704358560441789	0.618695797803073
Ery	mchc	14.2249106472259	45.4935877813129
GMP-A	mchc	-1.13751326182432	0.0593151549504893
GMP-B	mchc	-1.70730119196225	0.019488979106814
GMP-C	mchc	-1.95233498546208	0.011195528005457
HSC	mchc	-2.48682172082125	0.00280786755918745
LMPP	mchc	-3.85326973831018	2.53094372089301e-05
mDC	mchc	-1.86741673953135	0.0136411343514519
Mega	mchc	3.56098685081705	3.73345835277627
MEP	mchc	6.60824076599497	10.7111766157563
Mono	mchc	-0.316723999341974	0.2046251129839
MPP	mchc	-2.33498071969397	0.00426489143158515
NK	mchc	-1.88846693271543	0.0129962472640862
pDC	mchc	-2.34791614304675	0.00411894393288413
B	mcv	-3.17621499259106	0.000324127027747593
CD4	mcv	-4.1116236931568	8.53150121510688e-06
CD8	mcv	-3.64295748296858	5.85302002417597e-05
CLP	mcv	-3.079908159508	0.000449867625791424
CMP	mcv	3.65458078578166	3.89007984936486
Ery	mcv	13.8816297499042	43.3879517502358
GMP-A	mcv	0.201062370865772	0.376414879191214
GMP-B	mcv	0.0726534808087665	0.326941350724362
GMP-C	mcv	-0.985385183869204	0.0768686908850299
HSC	mcv	-0.310790661620386	0.206195570552966
LMPP	mcv	-4.55130748365173	1.15769093388681e-06
mDC	mcv	-4.0459378796426	1.13165701644772e-05
Mega	mcv	2.08430699238574	1.73127870979176
MEP	mcv	11.4614060708063	29.986866255938
Mono	mcv	-0.987479188405009	0.0766025492513694
MPP	mcv	0.481643022598258	0.501648391351428
NK	mcv	-3.28773388554253	0.000219368152426182
pDC	mcv	-2.96135956145462	0.000665597344871183
B	mono	-1.39772273415671	0.0367308846563625
CD4	mono	-3.59158848292996	7.13753332076231e-05
CD8	mono	-3.25179128332621	0.000249096314644191
CLP	mono	-0.0994296958477299	0.267926894271767
CMP	mono	0.660129345981362	0.594166482069133
Ery	mono	-0.825589230501655	0.0993699559554967
GMP-A	mono	5.87313822205034	8.66997032511336
GMP-B	mono	6.08107616617202	9.22410364721502
GMP-C	mono	5.6972592769621	8.21556564487875
HSC	mono	2.16395358923925	1.8171873105894
LMPP	mono	1.59364034275479	1.25564202172359
mDC	mono	3.48837572716559	3.61442530280107
Mega	mono	-2.13892242671835	0.00710244151537883
MEP	mono	-1.323765352401	0.0422924073801008
Mono	mono	5.27148930800379	7.1696642436911
MPP	mono	1.74434256681035	1.39201249735775
NK	mono	-2.30541909027798	0.00461560903041784
pDC	mono	-0.228302730153391	0.228931227288356
B	mpv	-2.07979960709651	0.00823004907356566
CD4	mpv	-2.8961892780405	0.000820993844860471
CD8	mpv	-2.94645051017376	0.000698567983271855
CLP	mpv	-2.69684704249171	0.00152268422238867
CMP	mpv	4.66379460773888	5.80906459111812
Ery	mpv	1.20393318027596	0.941924502203664
GMP-A	mpv	-0.999110781809185	0.0751371426469925
GMP-B	mpv	-1.14979848286321	0.0580482551122234
GMP-C	mpv	-2.12871590997635	0.00728696937044717
HSC	mpv	-0.293954474814339	0.210698810680708
LMPP	mpv	-3.71702519872805	4.37752560400468e-05
mDC	mpv	-1.90746464804049	0.0124366117637668
Mega	mpv	5.10157159170624	6.77360046593371
MEP	mpv	6.11785242037957	9.32401629027449
Mono	mpv	-1.7061956516248	0.0195356701478854
MPP	mpv	0.921416328758828	0.748564854380663
NK	mpv	-2.19644587865598	0.0061363089805921
pDC	mpv	-3.49917970886236	0.000101352689005897
B	mrv	-2.98257065726898	0.000621134732902429
CD4	mrv	-4.42819073393244	2.0634867636155e-06
CD8	mrv	-4.26060613910465	4.42707359795091e-06
CLP	mrv	-3.75096943984142	3.82526425279e-05
CMP	mrv	3.58139547564724	3.76730385077871
Ery	mrv	16.8632697718422	63.3776778550282
GMP-A	mrv	1.02467090891855	0.815992491108474
GMP-B	mrv	0.646425204038752	0.586696863782433
GMP-C	mrv	-0.64129711253954	0.131158635456545
HSC	mrv	-0.183317384486101	0.242053477935151
LMPP	mrv	-4.44660104993028	1.89438882210465e-06
mDC	mrv	-3.48877782247398	0.000105380069664035
Mega	mrv	1.25032590058672	0.976376139309072
MEP	mrv	10.9850753316197	27.6469860742367
Mono	mrv	0.0735638853381517	0.327275450770895
MPP	mrv	0.428820306474941	0.476218427072891
NK	mrv	-3.56641132692359	7.85933898303399e-05
pDC	mrv	-4.6427120756843	7.46694841902287e-07
B	mscv	-1.20693981804744	0.0524328049638821
CD4	mscv	-2.83103021749015	0.00100869759428043
CD8	mscv	-2.21894822645894	0.00579071866524324
CLP	mscv	-3.01493697982884	0.000558498278445857
CMP	mscv	2.48154898854526	2.18437999349692
Ery	mscv	13.6738798469952	42.1383773879983
GMP-A	mscv	1.8656288348354	1.50798516681967
GMP-B	mscv	1.57535169571575	1.23967069045282
GMP-C	mscv	0.654534085149038	0.591109271797218
HSC	mscv	-1.11716429105221	0.0614612837635601
LMPP	mscv	-3.72883115404808	4.17746213670566e-05
mDC	mscv	-2.8898553090774	0.000837734569530209
Mega	mscv	-0.34949277171566	0.196105872339979
MEP	mscv	8.9938428838845	18.9231163478785
Mono	mscv	0.237032995498069	0.391136506962979
MPP	mscv	-0.694633805945308	0.121272830851387
NK	mscv	-2.74214395716275	0.00132748447839062
pDC	mscv	-2.95692294658584	0.000675257092918212
B	neut	-1.02618424912788	0.0718102674023827
CD4	neut	-3.08718096760816	0.000438999379693543
CD8	neut	-2.58602243292258	0.00211342985265541
CLP	neut	0.669577308294023	0.599352126912446
CMP	neut	1.628200340786	1.28616345046057
Ery	neut	-0.0724786691068709	0.27663504686235
GMP-A	neut	3.75336006953163	4.05928447151495
GMP-B	neut	3.5901547542999	3.78188258669125
GMP-C	neut	2.97048181934699	2.82778687666856
HSC	neut	1.46561447514904	1.14644370064242
LMPP	neut	0.374417750833336	0.45093936425881
mDC	neut	1.64576304495462	1.3018448296524
Mega	neut	-0.652711404500949	0.128994337573952
MEP	neut	0.468393205757917	0.495187120311831
Mono	neut	2.38403743419228	2.06742831717337
MPP	neut	1.51132830723661	1.18473837487403
NK	neut	-2.21194689431701	0.00589638053008541
pDC	neut	-1.4336040044419	0.0342540781376314
B	pct	-2.44030173463733	0.00319838399246611
CD4	pct	-3.5505977277643	8.347017117722e-05
CD8	pct	-3.7090415615816	4.51788082556e-05
CLP	pct	-2.04360415665814	0.00899393429757537
CMP	pct	3.58391736356462	3.77149799336113
Ery	pct	5.25848648951017	7.1389262498452
GMP-A	pct	2.05845771776172	1.70392506047452
GMP-B	pct	1.26158767454469	0.984855781976403
GMP-C	pct	-0.316699975208491	0.204631454441851
HSC	pct	1.77558610614612	1.42135413411241
LMPP	pct	-2.04773324335135	0.00890382096390249
mDC	pct	-1.68790831564328	0.0203216364035015
Mega	pct	3.65659207496666	3.89348506628346
MEP	pct	4.53298453739426	5.53643491651513
Mono	pct	-0.338786058457875	0.198860825202437
MPP	pct	2.44717002245652	2.14271907926774
NK	pct	-3.66207510143502	5.43294007294246e-05
pDC	pct	-4.17618287909854	6.43719361261538e-06
B	pdw	-2.84683432251124	0.000959902698983527
CD4	pdw	-3.80981205289534	3.02002539406073e-05
CD8	pdw	-3.32738624359336	0.000190403368304473
CLP	pdw	-2.39148788149891	0.00365915429085738
CMP	pdw	1.23969981881221	0.968416955778331
Ery	pdw	2.82193621988857	2.62219607489242
GMP-A	pdw	1.29714775865678	1.01193101180328
GMP-B	pdw	1.58733143130271	1.2501184283637
GMP-C	pdw	0.990451067736961	0.793236581834898
HSC	pdw	-0.103744876044489	0.266550665530574
LMPP	pdw	-2.29827145691564	0.00470411399509033
mDC	pdw	1.65004922799737	1.30568939700824
Mega	pdw	9.95296254947545	22.9122443860539
MEP	pdw	3.70785345563467	3.98083477111729
Mono	pdw	1.20654966098433	0.943847008604215
MPP	pdw	0.213248229484454	0.381359285691372
NK	pdw	-2.38817500229061	0.00369244974262437
pDC	pdw	-1.94101940051283	0.0114981035859997
B	plt	-2.20589704934858	0.00598903139692036
CD4	plt	-3.89124814632008	2.16566067439273e-05
CD8	plt	-3.74997735961363	3.84043041257438e-05
CLP	plt	-3.10129194160342	0.000418597114067573
CMP	plt	3.73094395926602	4.02053435315893
Ery	plt	2.53084062309324	2.24492765482435
GMP-A	plt	0.800293344775975	0.674134683493674
GMP-B	plt	0.183738846305646	0.369461107898957
GMP-C	plt	-0.737359617084091	0.113764197702896
HSC	plt	0.985587347714666	0.7900353090833
LMPP	plt	-2.86810123900533	0.000897622131144303
mDC	plt	-1.29781001844668	0.0443970550814606
Mega	plt	6.09208825253257	9.25396078743933
MEP	plt	3.53032329452237	3.68292731554893
Mono	plt	0.105805362275944	0.339259336917857
MPP	plt	1.80368259941697	1.44805573115183
NK	plt	-2.43519490990339	0.00324405557100098
pDC	plt	-3.34231943457236	0.000180446427398878
B	rbc	-0.589880095027166	0.141243617176654
CD4	rbc	-2.54854978245124	0.00235529698546043
CD8	rbc	-2.29707102521955	0.00471912326693425
CLP	rbc	-1.26256755295752	0.0473878568082858
CMP	rbc	1.40427362500069	1.09626614657477
Ery	rbc	5.42839963238126	7.54621086476021
GMP-A	rbc	1.49986566170908	1.17506361791061
GMP-B	rbc	1.76688993196437	1.41315026573707
GMP-C	rbc	1.11668356142751	0.879212841543087
HSC	rbc	-1.13127750379601	0.0599664654054062
LMPP	rbc	-3.99932520373682	1.37941379281169e-05
mDC	rbc	-1.7845778374741	0.0164480902360704
Mega	rbc	1.01472085933867	0.809333732688858
MEP	rbc	6.24809883662638	9.68248118175891
Mono	rbc	2.08179672045292	1.72861102185852
MPP	rbc	-0.757019322348778	0.11042891853122
NK	rbc	-1.78183591914065	0.016548727074989
pDC	rbc	-1.17832512333706	0.0551885275014988
B	rdw_cv	-1.27553911659373	0.0462689291816802
CD4	rdw_cv	-1.76332820009907	0.0172416242813271
CD8	rdw_cv	-1.56397107565468	0.0263698476762276
CLP	rdw_cv	-3.53827835484394	8.74638258006259e-05
CMP	rdw_cv	-0.239725255455661	0.225681342169887
Ery	rdw_cv	26.836295137497	158.214976290762
GMP-A	rdw_cv	-0.974966435329442	0.0782035110021979
GMP-B	rdw_cv	-1.69652282334718	0.0199481792327062
GMP-C	rdw_cv	-2.52561024750939	0.00251526682206471
HSC	rdw_cv	-2.48396951505876	0.00283053148433732
LMPP	rdw_cv	-3.80601292782789	3.06677027307229e-05
mDC	rdw_cv	-3.48755125824654	0.000105864684539114
Mega	rdw_cv	1.45725657316646	1.13952552824748
MEP	rdw_cv	9.77500880631953	22.1422310346853
Mono	rdw_cv	-0.905246116667718	0.0876012357559926
MPP	rdw_cv	-2.32067515132071	0.00443157405710901
NK	rdw_cv	-1.45842007116018	0.0326216544330023
pDC	rdw_cv	-3.21812782307002	0.000280276161122558
B	ret	-0.928425193540848	0.0843857235053313
CD4	ret	-1.83471745201676	0.0146965032497522
CD8	ret	-2.18883404042437	0.0062572051110993
CLP	ret	-0.404640943627135	0.18234918724952
CMP	ret	0.638999673400564	0.582675190964422
Ery	ret	10.6732286335385	26.1680558644076
GMP-A	ret	-0.837111688208654	0.0975972278697999
GMP-B	ret	-0.963276707995004	0.0797223696986844
GMP-C	ret	-1.57824327598219	0.0256057004857446
HSC	ret	-2.72642570095023	0.00139250146422367
LMPP	ret	-2.68452451508992	0.00158007766561597
mDC	ret	-1.92937897111814	0.0118166054136163
Mega	ret	3.06155881996497	2.95823689041757
MEP	ret	7.62939703871676	13.9283863609359
Mono	ret	-0.12893330518581	0.258616112927544
MPP	ret	-2.2674987017713	0.00510236725613524
NK	ret	-1.9143312428713	0.0122394347847433
pDC	ret	-1.2752867702854	0.0462904938293577
B	wbc	-1.53033288475073	0.0282451957274217
CD4	wbc	-2.10967313244816	0.00764236095356389
CD8	wbc	-2.13386543009281	0.00719335696857536
CLP	wbc	1.86915105298242	1.51143658002792
CMP	wbc	1.21511440972464	0.950157239769747
Ery	wbc	0.255733850136585	0.39894201953255
GMP-A	wbc	3.49473295727312	3.62476056856629
GMP-B	wbc	2.9450001918919	2.79188870567618
GMP-C	wbc	1.33149718540027	1.03851846370329
HSC	wbc	2.33349445428536	2.00828209731124
LMPP	wbc	0.279228407874376	0.408896673465771
mDC	wbc	0.237410892790458	0.391293204875215
Mega	wbc	-0.724598433932788	0.115969265025452
MEP	wbc	0.587218905469785	0.555130596066248
Mono	wbc	1.60522946819228	1.26582721216083
MPP	wbc	2.07307592251585	1.71936228939537
NK	wbc	-2.47620929954595	0.00289301951804284
pDC	wbc	-2.70281807826571	0.00149555419868679
